No,year,month,day,hour,pm2.5,DEWP,TEMP,PRES,cbwd,Iws,Is,Ir
1,2010,1,1,0,NA,-21,-11,1021,NW,1.79,0,0
2,2010,1,1,1,NA,-21,-12,1020,NW,4.92,0,0
3,2010,1,1,2,NA,-21,-11,1019,NW,6.71,0,0
4,2010,1,1,3,NA,-21,-14,1019,NW,9.84,0,0
5,2010,1,1,4,NA,-20,-12,1018,NW,12.97,0,0
6,2010,1,1,5,NA,-19,-10,1017,NW,16.1,0,0
7,2010,1,1,6,NA,-19,-9,1017,NW,19.23,0,0
8,2010,1,1,7,NA,-19,-9,1017,NW,21.02,0,0
9,2010,1,1,8,NA,-19,-9,1017,NW,24.15,0,0
10,2010,1,1,9,NA,-20,-8,1017,NW,27.28,0,0
11,2010,1,1,10,NA,-19,-7,1017,NW,31.3,0,0
12,2010,1,1,11,NA,-18,-5,1017,NW,34.43,0,0
13,2010,1,1,12,NA,-19,-5,1015,NW,37.56,0,0
14,2010,1,1,13,NA,-18,-3,1015,NW,40.69,0,0
15,2010,1,1,14,NA,-18,-2,1014,NW,43.82,0,0
16,2010,1,1,15,NA,-18,-1,1014,cv,0.89,0,0
17,2010,1,1,16,NA,-19,-2,1015,NW,1.79,0,0
18,2010,1,1,17,NA,-18,-3,1015,NW,2.68,0,0
19,2010,1,1,18,NA,-18,-5,1016,NE,1.79,0,0
20,2010,1,1,19,NA,-17,-4,1017,NW,1.79,0,0
21,2010,1,1,20,NA,-17,-5,1017,cv,0.89,0,0
22,2010,1,1,21,NA,-17,-5,1018,NW,1.79,0,0
23,2010,1,1,22,NA,-17,-5,1018,NW,2.68,0,0
24,2010,1,1,23,NA,-17,-5,1020,cv,0.89,0,0
25,2010,1,2,0,129,-16,-4,1020,SE,1.79,0,0
26,2010,1,2,1,148,-15,-4,1020,SE,2.68,0,0
27,2010,1,2,2,159,-11,-5,1021,SE,3.57,0,0
28,2010,1,2,3,181,-7,-5,1022,SE,5.36,1,0
29,2010,1,2,4,138,-7,-5,1022,SE,6.25,2,0
30,2010,1,2,5,109,-7,-6,1022,SE,7.14,3,0
31,2010,1,2,6,105,-7,-6,1023,SE,8.93,4,0
32,2010,1,2,7,124,-7,-5,1024,SE,10.72,0,0
33,2010,1,2,8,120,-8,-6,1024,SE,12.51,0,0
34,2010,1,2,9,132,-7,-5,1025,SE,14.3,0,0
35,2010,1,2,10,140,-7,-5,1026,SE,17.43,1,0
36,2010,1,2,11,152,-8,-5,1026,SE,20.56,0,0
37,2010,1,2,12,148,-8,-5,1026,SE,23.69,0,0
38,2010,1,2,13,164,-8,-5,1025,SE,27.71,0,0
39,2010,1,2,14,158,-9,-5,1025,SE,31.73,0,0
40,2010,1,2,15,154,-9,-5,1025,SE,35.75,0,0
41,2010,1,2,16,159,-9,-5,1026,SE,37.54,0,0
42,2010,1,2,17,164,-8,-5,1027,SE,39.33,0,0
43,2010,1,2,18,170,-8,-5,1027,SE,42.46,0,0
44,2010,1,2,19,149,-8,-5,1028,SE,44.25,0,0
45,2010,1,2,20,154,-7,-5,1028,SE,46.04,0,0
46,2010,1,2,21,164,-7,-5,1027,SE,49.17,1,0
47,2010,1,2,22,156,-8,-6,1028,SE,52.3,2,0
48,2010,1,2,23,126,-8,-6,1027,SE,55.43,3,0
